"OBJECTID"	"ID"	"ID_METODO_GEOPOSICIONAMENTO"	"ALTITUDE"	"TOPONIMIA"	"ID_GEOLOGO"	"DATA_CADASTRO"	"DIMENSAO"	"ID_TIPO_AFLORAMENTO"	"DESCRICAO"	"NUMERO_CAMPO"	"ID_SUREG"	"ID_CATEGORIA"	"ID_FOLHA"	"SHAPE"
46036513	415	3		"Estrada para Joaçuba a 12 Km de Ecoporanga"	364	23/01/06		8		"FS352"	0	2	1147	SDE.ST_POINT(1, 1, -40.8008594, -18.3402825, -40.8008594, -18.3402825, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@450d7904')
46036529	416	3		"Estrada para Joaçuba a 16.9 Km de Ecoporanga"	364	23/01/06		8		"FS353"	0	2	1147	SDE.ST_POINT(1, 1, -40.7234743, -18.3836883, -40.7234743, -18.3836883, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@6adc60d1')
46036545	417	3		"Estrada para Joaçuba a 21 Km de Ecoporanga"	364	23/01/06		8		"FS354"	0	2	1147	SDE.ST_POINT(1, 1, -40.6888486, -18.3993585, -40.6888486, -18.3993585, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@6d7e9862')
46036561	418	3		"Estrada Joaçuba Estrela a 15.7 Km de Estrela"	364	23/01/06		8		"FS355"	0	2	1147	SDE.ST_POINT(1, 1, -40.6624056, -18.3905564, -40.6624056, -18.3905564, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@16160b6a')
46036577	419	3		"Estrada Joaçuba Estrela a 11.3 Km de Estrela"	364	23/01/06		8		"FS356"	0	2	1147	SDE.ST_POINT(1, 1, -40.6487402, -18.3617625, -40.6487402, -18.3617625, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@38fd85f5')
46036593	420	3		"Estrada Joaçuba Estrela a 6.3 Km de Estrela"	364	23/01/06		8		"FS357"	0	2	1147	SDE.ST_POINT(1, 1, -40.631338, -18.3223827, -40.631338, -18.3223827, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@312ea0d3')
46036609	421	3		"Cerca de 2Km ao sul da Vila de Imburana"	364	16/02/06		4		"EC81"	0	2	1147	SDE.ST_POINT(1, 1, -40.7058075, -18.299964, -40.7058075, -18.299964, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@288a831c')
46036625	422	3		"Cerca de 0,5 Km à sudeste da Fazenda São Jeronimo"	364	24/01/06		8		"EP82"	0	2	1147	SDE.ST_POINT(1, 1, -40.7872675, -18.1593792, -40.7872675, -18.1593792, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@ee1803c')
46036641	423	3		"Cerca de 4 Km ao sul da Fazenda Água Boa"	364	24/01/06		8		"EP83"	0	2	1147	SDE.ST_POINT(1, 1, -40.7710362, -18.1908446, -40.7710362, -18.1908446, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@5a676e38')
46036657	424	3		"Cerca de 2 Km à oeste da Capela São João"	364	24/01/06		8		"EP84"	0	2	1147	SDE.ST_POINT(1, 1, -40.7309063, -18.1925027, -40.7309063, -18.1925027, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1e8b659f')
46036673	425	3		"Cerca de 2,5 Km à oeste da Capela São João"	364	24/01/06		8		"EP85"	0	2	1147	SDE.ST_POINT(1, 1, -40.7304862, -18.1911241, -40.7304862, -18.1911241, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@62e59731')
46036689	426	3		"Cerca de 0,5 Km ao sul da Capela São João"	364	24/01/06		8		"EP86"	0	2	1147	SDE.ST_POINT(1, 1, -40.7189933, -18.1893842, -40.7189933, -18.1893842, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@60870b31')
46036705	427	3		"Cerca de 1 Km à sudoeste da Fazenda Coió"	364	24/01/06		8		"EP87"	0	2	1147	SDE.ST_POINT(1, 1, -40.7478718, -18.1704118, -40.7478718, -18.1704118, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@170bfb7')
46036721	428	3		"Cerca de 1,5 Km à sudoeste da Fazenda Volta Grande"	364	24/01/06		8		"EP88"	0	2	1147	SDE.ST_POINT(1, 1, -40.7502379, -18.1070995, -40.7502379, -18.1070995, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@4492959b')
46036737	429	3		"Cerca de 1,5 Km à noroeste da Fazenda Volta Grande"	364	24/01/06		8		"EP89"	0	2	1147	SDE.ST_POINT(1, 1, -40.7521221, -18.0941893, -40.7521221, -18.0941893, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@a00ce27')
46036753	430	3		"Cerca de 3 Km à noroeste da Fazenda Volta Grande"	364	24/01/06		4		"EP90"	0	2	1147	SDE.ST_POINT(1, 1, -40.7655209, -18.086848, -40.7655209, -18.086848, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@528692d5')
46036769	431	3		"Cerca de 0,5 Km à leste da Fazenda Mineira"	364	24/01/06		8		"EP91"	0	2	1147	SDE.ST_POINT(1, 1, -40.7803842, -18.0393227, -40.7803842, -18.0393227, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@560f1235')
46036785	432	3		"Cerca de 1 Km ao norte da Fazenda Mineira"	364	24/01/06		8		"EP92"	0	2	1147	SDE.ST_POINT(1, 1, -40.7830415, -18.0312209, -40.7830415, -18.0312209, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@6616b22')
46036801	433	3		"Cerca de 0,5 Km ao sul da Fazenda Ondina"	364	24/01/06		8		"EP93"	0	2	1147	SDE.ST_POINT(1, 1, -40.7804006, -18.0212343, -40.7804006, -18.0212343, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@a1cec3f')
46036817	434	3		"Cerca de 0,5 Km ao sul da Fazenda Vitrine"	364	24/01/06		8		"EP94"	0	2	1147	SDE.ST_POINT(1, 1, -40.7745295, -18.0064346, -40.7745295, -18.0064346, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@6c6ac793')
46036833	435	3		"Cerca de 1 Km ao norte da Fazenda Quitandinha"	364	24/01/06		8		"EP95"	0	2	1147	SDE.ST_POINT(1, 1, -40.7116864, -18.000558, -40.7116864, -18.000558, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@42daee91')
46036849	436	3		"Cerca de 0,5 Km ao norte da Fazenda Quitandinha"	364	24/01/06		8		"EP96"	0	2	1147	SDE.ST_POINT(1, 1, -40.7076499, -18.0089243, -40.7076499, -18.0089243, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@4fefa593')
46036865	437	3		"Cerca de 2 Km ao sul da Fazenda Quitandinha"	364	24/01/06		4		"EP97"	0	2	1147	SDE.ST_POINT(1, 1, -40.7034832, -18.0263721, -40.7034832, -18.0263721, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@227fc545')
46036881	4	3		"Cerca de 2Km ao norte da Cidade de Ecoporanga"	364	09/12/05		15		"PT01"	0	2	1147	SDE.ST_POINT(1, 1, -40.8296869, -18.358321, -40.8296869, -18.358321, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1813d8c6')
46036897	5	3		"Cerca de 4Km ao norte da cidade de Ecoporanga"	364	09/12/05		5		"PT02"	0	2	1147	SDE.ST_POINT(1, 1, -40.8282458, -18.3319629, -40.8282458, -18.3319629, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@d280333')
46036913	6	3		"Cerca de 6Km ao norte da cidade de Ecoporanga"	364	09/12/05		15		"PT03"	0	2	1147	SDE.ST_POINT(1, 1, -40.8345785, -18.3179707, -40.8345785, -18.3179707, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@3fd9fc38')
46036929	7	3		"Cerca de 2Km a noroeste da fazenda Bela Vista"	364	09/12/05		1		"PT04"	0	2	1147	SDE.ST_POINT(1, 1, -40.8504113, -18.2393074, -40.8504113, -18.2393074, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@63d0436b')
46036945	8	3		"Cerca de 0,5 Km ao norte da capela de Sao Sebastião"	364	09/12/05		1		"PT05"	0	2	1147	SDE.ST_POINT(1, 1, -40.85771, -18.2169846, -40.85771, -18.2169846, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@6503723f')
46036961	9	3		"Cerca de 0,5 Km ao norte da fazenda Santa Rita"	364	09/12/05		1		"PT07"	0	2	1147	SDE.ST_POINT(1, 1, -40.8578318, -18.1544187, -40.8578318, -18.1544187, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@287fd437')
46036977	10	3		"Cerca de 6.5Km à noroeste da Cidade de Ecoporanga"	364	13/12/05		8		"EB02"	0	2	1147	SDE.ST_POINT(1, 1, -40.8414018, -18.3120054, -40.8414018, -18.3120054, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@58b7d53c')
46036993	11	3		"Cerca de 6Km à norte da Cidade de Ecoporanga"	364	13/12/05		9		"EB01"	0	2	1147	SDE.ST_POINT(1, 1, -40.8402952, -18.3120161, -40.8402952, -18.3120161, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@399d1e5a')
46037009	12	3		"Cerca de 4 Km à sudoeste da Fazenda Boa Vista"	364	13/12/05		15		"EB03"	0	2	1147	SDE.ST_POINT(1, 1, -40.8625562, -18.2911563, -40.8625562, -18.2911563, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@477101dc')
46037025	13	3		"Cerca de 1.5Km à noroeste da Fazenda Arizona"	364	13/12/05		8		"EB04"	0	2	1147	SDE.ST_POINT(1, 1, -40.8570394, -18.2188342, -40.8570394, -18.2188342, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@1179bb69')
46037041	14	3		"Cerca de 3.5Km à noroeste da Fazenda Arizona"	364	13/12/05		8		"EB05"	0	2	1147	SDE.ST_POINT(1, 1, -40.8630607, -18.2009776, -40.8630607, -18.2009776, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@7701824f')
46037057	15	3		"Cerca de 1.5Km à nordeste da Fazenda Boa Nova"	364	13/12/05		8		"EB06"	0	2	1147	SDE.ST_POINT(1, 1, -40.8714844, -18.1851394, -40.8714844, -18.1851394, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@26bf3d3b')
46037073	16	3		"Cerca de 1Km à nordeste da Fazenda Boa Nova"	364	13/12/05		8		"EB07"	0	2	1147	SDE.ST_POINT(1, 1, -40.8807742, -18.1894123, -40.8807742, -18.1894123, NULL, NULL, NULL, NULL, 0, 0, 4326, 'oracle.sql.BLOB@690fa7d1')
